Date,Close/Last,Volume,Open,High,Low
06/26/2024,$126.40,362975900,$126.13,$128.12,$122.60
06/25/2024,$126.09,425787500,$121.20,$126.50,$119.32
06/24/2024,$118.11,476060900,$123.24,$124.46,$118.04
06/21/2024,$126.57,655484700,$127.12,$130.63,$124.30
06/20/2024,$130.78,517768400,$139.80,$140.76,$129.52
06/18/2024,$135.58,294335100,$131.14,$136.33,$130.69
06/17/2024,$130.98,288504400,$132.99,$133.73,$129.58
06/14/2024,$131.88,309320400,$129.96,$132.84,$128.32
06/13/2024,$129.61,260704500,$129.39,$129.80,$127.16
06/12/2024,$125.20,299595000,$123.06,$126.88,$122.57
06/11/2024,$120.91,222551200,$121.77,$122.87,$118.74
06/10/2024,$121.79,314162700,$120.37,$123.10,$117.01
06/07/2024,$120.888,412385800,$119.77,$121.6917,$118.022
06/06/2024,$120.998,664696200,$124.048,$125.587,$118.32
06/05/2024,$122.44,528401800,$118.371,$122.4495,$117.468
06/04/2024,$116.437,403324000,$115.716,$116.60,$114.045
06/03/2024,$115.00,438391800,$113.621,$115.00,$112.003
05/31/2024,$109.633,613262500,$112.52,$112.717,$106.94
05/30/2024,$110.50,487350300,$114.65,$115.8191,$109.663
05/29/2024,$114.825,557441900,$113.05,$115.492,$110.901
05/28/2024,$113.901,652727900,$110.244,$114.939,$109.883
05/24/2024,$106.469,429493700,$104.449,$106.475,$103.00
05/23/2024,$103.799,835065300,$102.028,$106.32,$101.52
05/22/2024,$94.95,548648000,$95.459,$96.02,$93.249
05/21/2024,$95.386,328946500,$93.599,$95.40,$93.18
05/20/2024,$94.78,318764500,$93.75,$95.20,$93.44
05/17/2024,$92.479,359691000,$94.369,$94.74,$91.806
05/16/2024,$94.359,323951800,$94.91,$95.819,$94.103
05/15/2024,$94.63,417735500,$92.472,$94.862,$91.599
05/14/2024,$91.356,296507100,$89.599,$91.651,$88.934
05/13/2024,$90.399,289680200,$90.478,$90.998,$88.529
05/10/2024,$89.878,335325400,$90.3045,$91.401,$89.227
05/09/2024,$88.747,378012700,$90.529,$91.072,$88.231
05/08/2024,$90.412,325721000,$89.4825,$91.194,$89.42
05/07/2024,$90.554,437341600,$91.098,$91.781,$89.011
05/06/2024,$92.14,376202600,$89.39,$92.22,$89.055
05/03/2024,$88.789,398340700,$87.789,$89.281,$87.04
05/02/2024,$85.817,377897500,$84.449,$86.237,$83.20
05/01/2024,$83.041,559863200,$85.077,$86.00,$81.2546
04/30/2024,$86.402,363708700,$87.24,$88.819,$86.30
04/29/2024,$87.757,388970800,$87.595,$87.992,$85.266
04/26/2024,$87.735,551010800,$83.818,$88.3309,$83.387
04/25/2024,$82.632,424640700,$78.868,$83.323,$78.223
04/24/2024,$79.677,512207500,$83.95,$84.082,$79.183
04/23/2024,$82.423,438559400,$80.769,$82.769,$80.264
04/22/2024,$79.518,596340500,$78.104,$80.073,$76.40
04/19/2024,$76.20,875198000,$83.15,$84.324,$75.606
04/18/2024,$84.671,447260300,$84.97,$86.19,$82.402
04/17/2024,$84.035,495399500,$88.34,$88.775,$83.95
04/16/2024,$87.415,370453000,$86.4325,$88.118,$86.0639
04/15/2024,$86.001,443077000,$89.098,$90.613,$85.929
04/12/2024,$88.186,426804800,$89.699,$90.175,$87.53
04/11/2024,$90.616,431637300,$87.42,$90.739,$86.926
04/10/2024,$87.039,431928500,$83.926,$87.40,$83.709
04/09/2024,$85.354,503547400,$87.442,$87.635,$83.022
04/08/2024,$87.133,283220000,$88.70,$88.83,$86.732
04/05/2024,$88.008,399678500,$86.866,$88.481,$85.926
04/04/2024,$85.905,434964900,$90.406,$90.634,$85.88
04/03/2024,$88.964,370066600,$88.484,$90.374,$88.40
04/02/2024,$89.452,433063600,$88.448,$90.094,$87.62
04/01/2024,$90.363,452441500,$90.299,$92.225,$89.204
03/28/2024,$90.356,435212300,$90.00,$91.30,$89.193
03/27/2024,$90.25,586067200,$93.112,$93.24,$89.123
03/26/2024,$92.561,513647600,$95.851,$96.375,$92.502
03/25/2024,$95.002,552136100,$93.941,$96.766,$93.51
03/22/2024,$94.289,586719400,$91.141,$94.778,$90.834
03/21/2024,$91.435,480372300,$92.30,$92.648,$90.405
03/20/2024,$90.372,479062800,$89.797,$90.41,$88.223
03/19/2024,$89.398,672171300,$86.70,$90.544,$85.01
03/18/2024,$88.455,668975900,$90.388,$92.405,$87.085
03/15/2024,$87.8365,642086200,$86.93,$89.546,$86.257
03/14/2024,$87.944,602318200,$89.577,$90.646,$86.60
03/13/2024,$90.888,635712900,$91.055,$91.504,$88.435
03/12/2024,$91.913,668075200,$88.049,$91.96,$86.1501
03/11/2024,$85.774,678364100,$86.429,$88.797,$84.166
03/08/2024,$87.528,1142269000,$95.1379,$97.40,$86.506
03/07/2024,$92.669,608119200,$90.158,$92.767,$89.602
03/06/2024,$88.70,582520300,$88.022,$89.724,$87.03
03/05/2024,$85.964,520639300,$85.27,$86.097,$83.417
03/04/2024,$85.237,615616500,$84.13,$87.695,$83.719
03/01/2024,$82.279,479135100,$80.00,$82.30,$79.435
02/29/2024,$79.112,507289000,$79.094,$79.99,$78.35
02/28/2024,$77.663,393110400,$77.62,$78.933,$77.125
02/27/2024,$78.701,391705200,$79.381,$79.48,$77.162
02/26/2024,$79.092,503972700,$79.70,$80.646,$78.505
02/23/2024,$78.817,829388400,$80.79,$82.394,$77.57
02/22/2024,$78.538,865099700,$75.025,$78.575,$74.22
02/21/2024,$67.472,690298100,$68.006,$68.888,$66.248
02/20/2024,$69.452,704833100,$71.947,$71.956,$67.734
02/16/2024,$72.613,495326600,$74.10,$74.402,$72.501
02/15/2024,$72.658,420121800,$73.869,$73.975,$72.40
02/14/2024,$73.90,504917400,$73.202,$74.236,$71.938
02/13/2024,$72.128,602580200,$70.40,$73.45,$69.62
02/12/2024,$72.248,613710200,$72.60,$74.611,$71.25
02/09/2024,$72.133,436636900,$70.533,$72.185,$70.212
02/08/2024,$69.641,414422100,$70.074,$70.794,$69.455
02/07/2024,$70.099,495574600,$68.319,$70.22,$67.60
02/06/2024,$68.223,683111400,$69.63,$69.754,$66.30
02/05/2024,$69.332,680078000,$68.225,$69.497,$67.205
02/02/2024,$66.16,476577700,$63.974,$66.60,$63.69
02/01/2024,$63.027,369145800,$62.10,$63.191,$61.65
01/31/2024,$61.527,453794900,$61.44,$62.269,$60.70
01/30/2024,$62.774,410735300,$62.90,$63.493,$62.26
01/29/2024,$62.465,348733000,$61.232,$62.489,$60.907
01/26/2024,$61.031,390308600,$60.96,$61.783,$60.573
01/25/2024,$61.617,482776800,$62.35,$62.719,$60.85
01/24/2024,$61.362,560270800,$60.304,$62.849,$59.938
01/23/2024,$59.873,294654500,$59.57,$59.91,$58.585
01/22/2024,$59.654,452954600,$60.049,$60.331,$59.07
01/19/2024,$59.491,543501500,$57.989,$59.50,$57.225
01/18/2024,$57.107,491650400,$57.26,$57.60,$56.107
01/17/2024,$56.053,474394400,$56.347,$56.4707,$54.74
01/16/2024,$56.382,449579700,$55.018,$56.835,$54.90
01/12/2024,$54.71,352993600,$54.62,$54.97,$54.3301
01/11/2024,$54.822,596758800,$54.999,$55.346,$53.56
01/10/2024,$54.35,533795800,$53.616,$54.60,$53.489
01/09/2024,$53.14,773100100,$52.401,$54.325,$51.69
01/08/2024,$52.253,642509900,$49.512,$52.275,$49.479
01/05/2024,$49.097,415039300,$48.462,$49.547,$48.306
01/04/2024,$47.998,306534900,$47.767,$48.50,$47.508
01/03/2024,$47.569,320896200,$47.485,$48.1841,$47.32
01/02/2024,$48.168,411254200,$49.244,$49.295,$47.595
12/29/2023,$49.522,389293300,$49.813,$49.997,$48.751
12/28/2023,$49.522,246587500,$49.643,$49.884,$49.412
12/27/2023,$49.417,233648000,$49.511,$49.68,$49.085
